CODE,ISIN,NAME,QTY,AVG BUY,CL,BUY AMT,SELL AMT,% CHANGE,Earnimgs per share,Change %,,,,,,,,,,,,,,,,
CENTRUM,,Centrum Capital Ltd,10000,25.7,31,256700,310000,20.8,-3.4,0.7,,,,,,,,,,,,,,,,
532822,,Vodafone Idea Ltd,45000,13.6,8.8,610200,394200,-35.4,-5.1,6.1,,,,,,,,,,,,,,,,
ORIENTHOT,,Oriental Hotels Ltd,1100,137.3,175.5,151008,193050,27.8,2.4,3.9,,,,,,,,,,,,,,,,
RAYMOND,,Raymond Ltd,80,,,,,,1171.1,3.8,,,,,,,,,,,,,,,,
NETWORK18,,Network18 Media & Investments Ltd,1813,81.6,57,147995.2,103286.6,-30.2,-2.8,-7.3,,,,,,,,,,,,,,,,
BLAL,,BEML Land Assets Ltd,550,212.5,218.8,116886,120312.5,2.9,-1,-0.8,,,,,,,,,,,,,,,,
500009,,Ambalal Sarabhai Enterprises Ltd,2200,61.1,50.5,134354,111078,-17.3,1.6,-1.8,,,,,,,,,,,,,,,,
HFCL,,HFCL Ltd,1000,140.5,97.6,140500,97550,-30.6,2.6,-0.5,,,,,,,,,,,,,,,,
543482,,Eureka Forbes Ltd,150,450,573,67500,85950,27.3,6.4,-1.1,,,,,,,,,,,,,,,,
TBZ,,Tribhovandas Bhimji Zaveri Ltd,500,134.3,204,67170,102000,51.9,9.4,-2.8,,,,,,,,,,,,,,,,
ZEELEARN,,Zee Learn Ltd,9000,13.2,8.2,118620,73350,-38.2,5.4,2.9,,,,,,,,,,,,,,,,
GOCLCORP,,Gocl Corporation Ltd,200,472,364.8,94400,72960,-22.7,12.5,1.9,,,,,,,,,,,,,,,,
ZUARIIND,,Zuari Industries Ltd,200,378,293.5,75600,58700,-22.4,#N/A,0.1,,,,,,,,,,,,,,,,
IDFCFIRSTB,,IDFC First Bank Ltd,1000,48,62.1,48020,62140,29.4,3.2,0.3,,,,,,,,,,,,,,,,
PNC,,Pritish Nandy Communications Ltd,1000,42.6,45.9,42560,45930,7.9,1,1.8,,,,,,,,,,,,,,,,
ONMOBILE,,Onmobile Global Ltd,700,,,,,,-2.9,3.1,,,,,,,,,,,,,,,,
ASIANTILES,,Asian Granito India Ltd,700,80.1,62.8,56084,43932,-21.7,0,0.2,,,,,,,,,,,,,,,,
SINDHUTRAD,,Sindhu Trade Links Ltd,2000,28.3,21.2,56520,42320,-25.1,0.4,-2,,,,,,,,,,,,,,,,
540614,,G G Engineering Ltd,25000,2.1,1.6,53250,40000,-24.9,0.1,-2.4,,,,,,,,,,,,,,,,
PURVA,,Puravankara Ltd,100,111.3,338.2,11128,33820,203.9,2.9,-0.7,,,,,,,,,,,,,,,,
INDIANHUME,,Indian Hume Pipe Company Ltd,100,424.7,342.7,42473.4,34270,-19.3,19.6,1.3,,,,,,,,,,,,,,,,
tarc,,Tarc Ltd,200,,,,,,-6.2,0.5,,,,,,,,,,,,,,,,
519216,,Ajanta Soya Ltd,700,48.6,48.7,34034,34118,0.2,2.1,-2,,,,,,,,,,,,,,,,
PROZONER,,Prozone Realty Ltd,1000,40.1,36,40080,35960,-10.3,-0.8,1.5,,,,,,,,,,,,,,,,
502865,,Forbes & Company Ltd,10,836,436,8360,4360,-47.8,8.5,0.5,,,,,,,,,,,,,,,,
,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,
VARROC,,Varroc Engineering Ltd,15,967,576.9,14505,8652.8,-40.3,34.5,0.2,,,,,,,,,,,,,,,,
BURNPUR,,Burnpur Cement Ltd,1000,11.2,6,11200,6000,-46.4,-11,-1.2,,,,,,,,,,,,,,,,
SCHAND,,S Chand and Company Ltd,22,676,209.8,14872,4615.6,-69,11.5,-0.8,,,,,,,,,,,,,,,,
INDOSTAR,,IndoStar Capital Finance Ltd,26,572,255.5,14872,6643,-55.3,8,3.2,,,,,,,,,,,,,,,,
CENTRUM,,Centrum Capital Ltd,1000,38,31,37990,31000,-18.4,-3.4,0.7,,,,,,,,,,,,,,,,
DIGJAMLMTD,,Digjam Ltd,66,16.3,52.9,1072.5,3488.1,225.2,-10.6,-2.7,,,,,,,,,,,,,,,,
543482,,Eureka Forbes Ltd,3000,556.05,556,1668150,1668000,0,6.4,-1.1,,,,,,,,,,,,,,,,
522134,,Artson Ltd,4400,164.25,191.1,722700,840620,16.3,-0.5,2.1,,,,,,,,,,,,,,,,
500325,,Reliance Industries Ltd,400,1493.95,1252.3,597580,500920,-16.2,50.2,1.1,,,,,,,,,,,,,,,,
ZUARIIND,,Zuari Industries Ltd,1000,389.81,293.5,389810,293500,-24.7,#N/A,0.1,,,,,,,,,,,,,,,,
SEPC,,Sepc Ltd,10000,27.23,18.4,272300,184000,-32.4,0.2,-1.2,,,,,,,,,,,,,,,,
500009,,Ambalal Sarabhai Enterprises Ltd,3000,66.7,50.5,200100,151470,-24.3,1.6,-1.8,,,,,,,,,,,,,,,,
INFY,,Infosys Ltd,88,1896,1951.7,166848,171745.2,2.9,65,0.6,,,,,,,,,,,,,,,,
JIOFIN,,Jio Financial Services Ltd,500,352.8,274,176400,137000,-22.3,2.5,0.4,,,,,,,,,,,,,,,,
544186,,Forbes Precision Tools and Mchn Prts Ltd,500,209,254.8,104500,127375,21.9,#N/A,1.2,,,,,,,,,,,,,,,,
523475,,Lotus Chocolate Company Ltd,100,1469.75,1157.5,146975,115750,-21.2,13,-5,,,,,,,,,,,,,,,,
502865,,Forbes & Company Ltd,269,836,436,224884,117284,-47.8,8.5,0.5,,,,,,,,,,,,,,,,
DCXINDIA,,DCX Systems Ltd,300,434.45,361,130335,108285,-16.9,5.2,2.3,,,,,,,,,,,,,,,,
HCC,,Hindustan Construction Company Ltd,2000,48.34,33.1,96680,66180,-31.5,3.4,-3.1,,,,,,,,,,,,,,,,
NSE:IOC,,Indian Oil Corporation Ltd,500,183.36,127.3,91680,63660,-30.6,12.7,0.5,,,,,,,,,,,,,,,,
HFCL,,HFCL Ltd,600,158.49,97.6,95094,58530,-38.5,2.6,-0.5,,,,,,,,,,,,,,,,
IFCI,,IFCI Ltd,1000,87.1,52.8,87100,52830,-39.3,0.5,-3.6,,,,,,,,,,,,,,,,
BASML,,Bannari Amman Spinning Mills Ltd,1000,60.75,47.9,60750,47900,-21.2,-1.2,-3,,,,,,,,,,,,,,,,
SHAH,,Shah Metacorp Ltd,10000,5.89,4,58900,40100,-31.9,0.1,-3.1,,,,,,,,,,,,,,,,
532822,,Vodafone Idea Ltd,3000,13.65,8.8,40950,26280,-35.8,-5.1,6.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
